log_id,label
0,0
1,1
2,1
3,0
4,0
5,1
6,0
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,0
19,0
20,0
21,1
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,0
38,1
39,0
40,1
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,0
49,0
50,1
51,0
52,1
53,1
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,1
99,1
100,0
101,1
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,0
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,1
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,1
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,1
152,0
153,1
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,1
163,1
164,0
165,0
166,1
167,0
168,1
169,0
170,0
171,1
172,1
173,1
174,0
175,1
176,1
177,0
178,1
179,0
180,1
181,1
182,1
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,1
199,1
200,1
201,1
202,0
203,0
204,0
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,0
213,1
214,1
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,0
226,1
227,0
228,0
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,0
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,1
261,1
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,0
280,1
281,0
282,1
283,0
284,1
285,1
286,0
287,0
288,0
289,1
290,0
291,0
292,1
293,1
294,0
295,1
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,0
317,1
318,0
319,0
320,1
321,0
322,1
323,1
324,1
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,0
337,1
338,0
339,0
340,1
341,1
342,1
343,0
344,1
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,0
353,0
354,1
355,0
356,0
357,1
358,0
359,0
360,1
361,1
362,1
363,1
364,0
365,1
366,0
367,0
368,0
369,1
370,1
371,1
372,0
373,0
374,1
375,1
376,1
377,0
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,0
395,1
396,1
397,0
398,1
399,0
400,0
401,0
402,0
403,0
404,1
405,0
406,1
407,0
408,0
409,1
410,1
411,0
412,1
413,0
414,1
415,1
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,1
424,0
425,1
426,0
427,0
428,0
429,1
430,1
431,0
432,1
433,0
434,1
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,0
444,0
445,0
446,0
447,1
448,0
449,0
450,1
451,1
452,0
453,1
454,0
455,1
456,1
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,1
469,1
470,1
471,1
472,0
473,1
474,1
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,0
483,0
484,1
485,0
486,0
487,0
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,0
496,1
497,0
498,0
499,1
500,0
501,0
502,1
503,1
504,0
505,1
506,0
507,1
508,0
509,1
510,1
511,1
512,0
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,0
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,1
535,0
536,1
537,1
538,1
539,1
540,0
541,1
542,0
543,0
544,0
545,0
546,1
547,0
548,0
549,0
550,1
551,1
552,0
553,0
554,1
555,1
556,0
557,0
558,1
559,0
560,0
561,1
562,0
563,0
564,0
565,0
566,1
567,1
568,1
569,1
570,1
571,1
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,1
580,1
581,0
582,1
583,0
584,1
585,0
586,1
587,0
588,1
589,0
590,1
591,1
592,0
593,0
594,1
595,1
596,0
597,1
598,1
599,0
600,0
601,1
602,0
603,1
604,1
605,0
606,0
607,1
608,1
609,1
610,1
611,0
612,1
613,0
614,0
615,0
616,0
617,1
618,1
619,0
620,1
621,0
622,0
623,0
624,1
625,0
626,0
627,1
628,1
629,1
630,1
631,0
632,0
633,1
634,1
635,0
636,0
637,1
638,1
639,1
640,0
641,1
642,1
643,1
644,1
645,1
646,1
647,0
648,1
649,0
650,0
651,0
652,0
653,1
654,0
655,1
656,0
657,1
658,0
659,1
660,0
661,0
662,1
663,0
664,0
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,0
674,0
675,1
676,0
677,0
678,1
679,0
680,1
681,0
682,0
683,1
684,1
685,0
686,0
687,1
688,1
689,1
690,1
691,1
692,0
693,1
694,0
695,0
696,1
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,0
705,1
706,1
707,1
708,0
709,1
710,0
711,1
712,1
713,1
714,1
715,0
716,0
717,1
718,1
719,0
720,1
721,0
722,1
723,1
724,0
725,1
726,0
727,1
728,1
729,0
730,0
731,1
732,1
733,1
734,1
735,1
736,1
737,0
738,0
739,0
740,0
741,1
742,0
743,0
744,1
745,1
746,1
747,1
748,1
749,1
750,0
751,1
752,0
753,0
754,0
755,1
756,1
757,1
758,0
759,0
760,1
761,1
762,1
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,1
771,0
772,1
773,0
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,0
782,1
783,0
784,0
785,1
786,1
787,1
788,1
789,1
790,1
791,0
792,0
793,0
794,1
795,0
796,0
797,1
798,0
799,1
800,1
801,0
802,1
803,1
804,1
805,1
806,0
807,1
808,1
809,1
810,1
811,0
812,1
813,1
814,1
815,1
816,0
817,1
818,1
819,0
820,0
821,1
822,1
823,1
824,0
825,1
826,0
827,1
828,1
829,1
830,1
831,1
832,0
833,0
834,0
835,1
836,0
837,1
838,0
839,0
840,0
841,0
842,1
843,0
844,1
845,1
846,0
847,0
848,1
849,1
850,1
851,0
852,0
853,0
854,0
855,1
856,1
857,1
858,1
859,0
860,1
861,1
862,0
863,0
864,0
865,0
866,0
867,0
868,1
869,0
870,0
871,0
872,0
873,0
874,1
875,0
876,1
877,1
878,0
879,1
880,1
881,0
882,0
883,1
884,0
885,0
886,0
887,1
888,0
889,0
890,0
891,0
892,1
893,0
894,1
895,0
896,1
897,1
898,0
899,1
900,0
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,0
909,1
910,1
911,0
912,1
913,1
914,1
915,0
916,0
917,0
918,0
919,1
920,1
921,1
922,1
923,1
924,0
925,1
926,1
927,1
928,1
929,0
930,0
931,1
932,1
933,1
934,1
935,0
936,1
937,0
938,1
939,1
940,0
941,0
942,1
943,1
944,0
945,1
946,0
947,0
948,1
949,1
950,1
951,0
952,0
953,0
954,1
955,1
956,1
957,0
958,0
959,0
960,1
961,1
962,0
963,1
964,1
965,0
966,0
967,0
968,1
969,1
970,0
971,0
972,0
973,1
974,1
975,1
976,0
977,0
978,0
979,1
980,1
981,1
982,0
983,1
984,1
985,1
986,0
987,0
988,0
989,0
990,1
991,1
992,0
993,1
994,1
995,1
996,0
997,1
998,0
999,1
1000,1
1001,0
1002,1
1003,0
1004,1
1005,1
1006,0
1007,0
1008,0
1009,1
1010,1
1011,0
1012,0
1013,1
1014,0
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,1
1022,0
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,0
1032,1
1033,0
1034,1
1035,1
1036,0
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,0
1045,1
1046,0
1047,1
1048,0
1049,0
1050,0
1051,1
1052,1
1053,0
1054,1
1055,0
1056,1
1057,0
1058,0
1059,0
1060,1
