lof_score,is_anomaly
1.015797849326384,False
1.015797849326384,False
97547261.02064756,True
1.0,False
1.0,False
195744836.15143275,True
147540232.03190613,True
195744836.15143275,True
1.015797849326384,False
1.015797849326384,False
1.015797849326384,False
1.015797849326384,False
1.0,False
1.0,False
153636935.826613,True
93645370.54982163,True
1.0,False
1.0,False
93645370.54982163,True
236552106.5816787,True
317028596.2965796,True
236552106.5816787,True
1.0,False
1.0,False
68283083.03024273,True
68283083.03024273,True
1.0,False
1.0,False
68283083.03024273,True
68283083.03024273,True
331660685.31020176,True
1.0,False
1.0,False
83240329.48813204,True
440669748.1479996,True
83240329.48813204,True
1.0,False
1.0,False
101449151.48709843,True
101449151.48709843,True
402626316.70500696,True
1.0,False
1.0,False
1.0287760388485399,False
1.0287760388485399,False
1.1657141829764397,False
223627094.57324696,True
223627094.57324696,True
233869556.9063727,True
46822685.76760312,True
1.0,False
1.0,False
46822685.76760312,True
46822685.76760312,True
1.0,False
1.0,False
233869556.9063727,True
46822685.76760312,True
1.3840716310915404,False
63405720.348875426,True
63405720.348875426,True
53650994.17212538,True
1.0,False
1.0,False
117056713.03883111,True
1.2915373462775592,False
1.3532172241219738,False
1.2915373462775592,False
1.018316498247707,False
1.0,False
1.0,False
1.018316498247707,False
1.274557297009045,False
1.018316498247707,False
107301986.93699798,True
0.9924350649520806,False
0.9992394179917005,False
0.9924350649520806,False
1.018316498247707,False
1.0,False
1.0,False
171683178.59930262,True
1.018316498247707,False
136566165.06981564,True
1.0067090965245633,False
1.0067090965245633,False
93320213.1207052,True
375556952.07949317,True
1.0,False
1.0,False
79663596.61035809,True
375556952.07949317,True
79663596.61035809,True
1.0,False
1.0,False
93320213.1207052,True
79988754.24470875,True
1.0,False
1.0,False
79988754.24470875,True
79988754.24470875,True
1.0,False
443840034.09394634,True
1.0,False
96571788.34239228,True
512123116.1083997,True
96571788.34239228,True
1.0,False
1.0,False
119983130.87388131,True
119983130.87388131,True
1.0,False
1.0,False
512123116.1083997,True
88442850.00855784,True
1.0,False
1.0,False
102424623.98083484,True
1.0,False
1.0,False
102424623.98083484,True
1.4852112653072151,False
88442850.00855784,True
1.4852112653072151,False
102424623.98083484,True
2.6051565535421712,False
1.0,False
1.0,False
95596315.89085793,True
81939699.41314813,True
1.5384601675899248,False
1.4899364702089561,False
1.4901360281311302,False
141936976.05494112,True
81939699.41314813,True
152173726.49139386,True
95596315.89085793,True
1.0,False
1.0,False
95596315.89085793,True
113154822.86366859,True
95596315.89085793,True
113154822.86366859,True
1.0,False
1.0,False
75111391.15371911,True
367509303.52962106,True
99498206.13534622,True
1.0,False
1.0,False
122909548.66131,True
122909548.66131,True
367509303.52962106,True
1.3531023715066604,False
1.3531023715066604,False
1.0,False
1.0,False
99498206.13534622,True
1.410613940752762,False
1.5217715452493887,False
1.0,False
1.0,False
1.570889405802403,False
1.570889405802403,False
1.0,False
1.0,False
1.570889405802403,False
78037809.0522323,True
1.0,False
1.0,False
443840034.09394634,True
68283082.95195328,True
1.0,False
1.0,False
443840034.09394634,True
68283082.95195328,True
78037809.0522323,True
55927096.752671264,True
1.0,False
1.0,False
55927096.752671264,True
55927096.752671264,True
55927096.752671264,True
1.0,False
1.0,False
55927096.752671264,True
196069993.65410662,True
1.0,False
1.0,False
90718952.75766377,True
196069993.65410662,True
90718952.75766377,True
196069993.65410662,True
1.0,False
1.0,False
196069993.65410662,True
261426657.8739195,True
1.0,False
1.0,False
220456808.5604694,True
261426657.8739195,True
220456808.5604694,True
106651671.99708445,True
106651671.99708445,True
261426657.8739195,True
1.0,False
1.0,False
13331459.869488494,False
62105090.24905677,True
13331459.869488494,False
1.0,False
1.0,False
13331459.869488496,False
13331459.869488496,False
1.0,False
1.0,False
13331459.869488496,False
88768007.67333469,True
409698493.08671975,True
1.0,False
1.0,False
75111391.15436015,True
1.929002648918852,False
1.929002648918852,False
409698493.08671975,True
75111391.15436015,True
1.0,False
1.0,False
88768007.67333469,True
53325836.49374346,True
1.0,False
1.0,False
53325836.49374346,True
53325836.49374346,True
53325836.49374346,True
1.0,False
1.0,False
53325836.49374346,True
204849247.4100265,True
1.0,False
1.0,False
0.9945945946395242,False
0.9945945946395243,False
204849247.4100265,True
0.9945945946395242,False
0.9945945946395243,False
1.0,False
1.0,False
0.9945945946395243,False
0.9945945946395243,False
196069993.65410662,True
1.0,False
1.0,False
174121860.06409463,True
196069993.65410662,True
174121860.06409463,True
196069993.65410662,True
1.0,False
1.0,False
104050411.61186142,True
409698493.08671975,True
74135918.54011074,True
1.0,False
1.0,False
83890644.63091478,True
83890644.63091478,True
2.052874775154545,False
2.052874775154545,False
1.0,False
1.0,False
83890644.63091478,True
98847891.23328842,True
364826753.7172219,True
1.0,False
1.0,False
80639069.22847216,True
364826753.7172219,True
80639069.22847216,True
1.0,False
1.0,False
98847891.23328842,True
83890644.63091478,True
1.0,False
1.0,False
83890644.63091478,True
83890644.63091478,True
1.0,False
1.0,False
83890644.63091478,True
65031507.70820947,True
1.277344389720128,False
1.277344389720128,False
221920017.76506916,True
1.0,False
1.0,False
58528356.95738852,True
221920017.76506916,True
58528356.95738852,True
1.277344389720128,False
1.277344389720128,False
1.0,False
1.0,False
65031507.70820947,True
65031507.70820947,True
457496650.5378896,True
1.0,False
1.0,False
324344640.49589187,True
457496650.5378896,True
324344640.49589187,True
139817740.38939875,True
139817740.38939875,True
1.0,False
1.0,False
1.1506340931697847,False
341415411.07226646,True
1.0667901615096018,False
1.0667901615096018,False
1.0,False
1.0,False
56902569.29409568,True
56902569.29409568,True
56902569.29409568,True
1.0,False
1.0,False
63405720.047706604,True
341415411.07226646,True
56902569.29409568,True
93320213.1207052,True
1.0,False
1.0,False
93320213.1207052,True
93320213.1207052,True
1.0,False
1.0,False
443840034.09394634,True
72835288.42682034,True
1.0,False
1.0,False
182413377.1854194,True
1.0,False
1.0,False
182413377.1854194,True
348731455.80756724,True
72835288.42682034,True
86491904.95059915,True
1.0,False
1.0,False
86491904.95059915,True
285325736.7858485,True
77387493.88221373,True
1.0,False
1.0,False
285325736.7858485,True
77387493.88221373,True
91044110.39672199,True
1.0,False
1.0,False
91044110.39672199,True
221920017.76506916,True
1.0,False
1.0,False
180950168.38690263,True
180950168.38690263,True
1.0,False
1.0,False
88442850.00855784,True
221920017.76506916,True
88442850.00855784,True
66657295.36906409,True
66657295.36906409,True
1.0,False
1.0,False
341415411.07226646,True
60154144.62086272,True
1.0,False
1.0,False
66657295.36906409,True
341415411.07226646,True
60154144.62086272,True
68283083.03024273,True
1.0,False
1.0,False
68283083.03024273,True
68283083.03024273,True
1.0,False
1.0,False
68283083.03024273,True
0.9960526316108943,False
1.0,False
1.0,False
0.9960526316108943,False
0.9960526316108943,False
1.0754643205600232,False
1.0754643205600232,False
1.0,False
1.0,False
0.9960526316108943,False
0.9974358974561174,False
0.9850649350706508,False
0.9850649350706508,False
0.9850649350706508,False
0.9850649350706508,False
0.9850649350706508,False
0.9850649350706508,False
1.0,False
1.0,False
0.9974358974561174,False
0.9850649350706508,False
0.9850649350706508,False
0.9974358974561174,False
0.9850649350706508,False
0.9850649350706508,False
0.9850649350706508,False
0.9850649350706508,False
1.0,False
1.0,False
0.9850649350706508,False
0.9850649350706508,False
0.9974358974561174,False
0.9974358974561174,False
0.9441666666966917,False
0.9441666666966917,False
0.9441666666966917,False
0.9441666666966917,False
359461654.20493233,True
0.9441666666966917,False
0.9441666666966917,False
0.9441666666966917,False
0.9441666666966917,False
1.0,False
1.0,False
278985164.56949973,True
359461654.20493233,True
278985164.56949973,True
39994377.618721895,True
39994377.618721895,True
1.0,False
1.0,False
39994377.618721895,True
55927096.752671264,True
1.0,False
1.0,False
55927096.752671264,True
55927096.752671264,True
1.0,False
1.0,False
55927096.752671264,True
26662918.74397699,False
1.0,False
1.0,False
26662918.74397699,False
26662918.74397699,False
1.0,False
1.0,False
26662918.74397699,False
38043432.42426875,True
1.594500575338191,False
1.594500575338191,False
1.0,False
1.0,False
38043432.42426875,True
38043432.42426875,True
1.0,False
1.0,False
38043432.42426875,True
0.9974358974561174,False
1.0,False
1.0,False
0.9974358974561174,False
0.9974358974561174,False
0.9974358974561174,False
1.0,False
1.0,False
0.9974358974561174,False
1.03928571414188,False
1.0,False
1.0,False
1.158297871079871,False
1.158297871079871,False
1.0,False
1.0,False
1.158297871079871,False
52025206.326413885,True
1.0022740428011694,False
1.0022740428011694,False
1.0312418000963919,False
1.0022740428011694,False
69.83479206052868,False
1.6646033492895005,False
1.0243243241221414,False
172414783.0163098,True
0.9960526316108943,False
1.0,False
1.0,False
0.9960526316108943,False
1.0754643205600232,False
1.0754643205600232,False
172414783.0163098,True
172414783.0163098,True
1.0,False
1.0,False
0.9960526316108943,False
154043382.51618457,True
0.9974358974561174,False
124860493.84155488,True
1.0,False
1.0,False
0.9974358974561174,False
124860493.84155488,True
0.9974358974561174,False
1.0,False
1.0,False
0.9974358974561174,False
39994377.618721895,True
359461654.20493233,True
1.0,False
1.0,False
38043432.373906195,True
359461654.20493233,True
38043432.373906195,True
1.0,False
1.0,False
39994377.618721895,True
39994377.618721895,True
55927096.752671264,True
1.0,False
1.0,False
55927096.752671264,True
55927096.752671264,True
1.0,False
1.0,False
55927096.752671264,True
375556952.07949317,True
1.0,False
1.0,False
26012603.653879993,False
375556952.07949317,True
26012603.653879993,False
26662918.74397699,False
1.0,False
1.0,False
1.937045453959297,False
1.937045453959297,False
26662918.74397699,False
343366356.3339038,True
1.0,False
1.0,False
262889866.6853327,True
262889866.6853327,True
36092487.17687035,True
1.594500575338191,False
1.594500575338191,False
343366356.3339038,True
36092487.17687035,True
1.0,False
1.0,False
38043432.42426875,True
38043432.42426875,True
1.0,False
1.0,False
1.5893533905774837,False
0.9974358974561174,False
1.0,False
1.0,False
0.9974358974561174,False
1.5893533905774837,False
0.9974358974561174,False
0.9974358974561174,False
1.03928571414188,False
1.0,False
1.0,False
53976151.55802943,True
1.03928571414188,False
53976151.55802943,True
200050304.21017763,True
200050304.21017763,True
1.0,False
1.0,False
53976151.55802943,True
50399418.70349623,True
59991567.00671299,True
1.0,False
1.0,False
46497528.234838456,True
59991567.00671299,True
46497528.234838456,True
1.0,False
1.0,False
50399418.70349623,True
38043432.42426875,True
1.0,False
1.0,False
198996411.68212098,True
36092487.17687035,True
1.0,False
1.0,False
1051215754.1191269,True
1051215754.1191269,True
1051215754.1191269,True
1051215754.1191269,True
198996411.68212098,True
36092487.17687035,True
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
126161124.00538354,True
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
1.0,False
156563353.25543305,True
126161124.00538354,True
156563353.25543305,True
128762384.23725477,True
1.0,False
1.0,False
1.0,False
1.0,False
128762384.23725477,True
285325736.7858485,True
1.0,False
1.0,False
12681144.802684179,False
12681144.802684179,False
285325736.7858485,True
12681144.802684179,False
12681144.802684179,False
1051215754.1191269,True
1051215754.1191269,True
1.0,False
1.0,False
12681144.802684179,False
63405720.047706604,True
341415411.07226646,True
1.0,False
1.0,False
56902569.29409568,True
1387604795.326478,True
1387604795.326478,True
341415411.07226646,True
56902569.29409568,True
1.0,False
1.0,False
63405720.047706604,True
125835966.44949248,True
2004318037.471579,True
2004318037.471579,True
1.0,False
1.0,False
125835966.44949248,True
125835966.44949248,True
1.0,False
1.0,False
477981575.10117304,True
70234028.14779305,True
375556952.07949317,True
70234028.14779305,True
1.0,False
1.0,False
79988754.24470875,True
79988754.24470875,True
375556952.07949317,True
1.0,False
1.0,False
55276781.630998515,True
1.0,False
175585068.93613473,True
1.0,False
1.0,False
1.0,False
175585068.93613473,True
55276781.630998515,True
55276781.630998515,True
189241685.4659299,True
189241685.4659299,True
241917206.0652093,True
55276781.630998515,True
1.0,False
1.0,False
61779932.38758657,True
95596315.84523459,True
