timestamp,source_ip,dest_ip,log_source,source_name,event_id,level,anomaly_score,prediction,alert_level
12/19/2016 3:46:14 PM,unknown,unknown,system,Schannel,36888.0,Error,-1.0470764137333675,1,NORMAL
12/19/2016 3:46:14 PM,unknown,unknown,system,Schannel,36888.0,Error,-1.0470764137333675,1,NORMAL
12/19/2016 3:39:38 PM,unknown,unknown,system,Service Control Manager,7036.0,Information,-0.9976884300543704,1,NORMAL
12/19/2016 3:39:17 PM,unknown,unknown,system,Service Control Manager,7036.0,Information,-0.997352842729544,1,NORMAL
12/19/2016 3:38:47 PM,unknown,unknown,system,Service Control Manager,7036.0,Information,-0.9919705691288533,1,NORMAL
12/19/2016 3:31:30 PM,unknown,unknown,system,Service Control Manager,7036.0,Information,-1.2399735258946698,-1,HIGH
12/19/2016 3:30:10 PM,unknown,unknown,system,Service Control Manager,7036.0,Information,-1.1702995511255248,-1,HIGH
12/19/2016 3:26:39 PM,unknown,unknown,system,Service Control Manager,7036.0,Information,-1.0114350892884925,1,NORMAL
12/19/2016 3:25:35 PM,unknown,unknown,system,Schannel,36888.0,Error,-1.0135921275638626,1,NORMAL
12/19/2016 3:25:35 PM,unknown,unknown,system,Schannel,36888.0,Error,-1.0135921275638626,1,NORMAL
12/19/2016 3:23:53 PM,unknown,unknown,system,Schannel,36888.0,Error,-1.021377051242982,1,NORMAL
12/19/2016 3:23:53 PM,unknown,unknown,system,Schannel,36888.0,Error,-1.021377051242982,1,NORMAL
12/19/2016 3:09:17 PM,unknown,unknown,system,Service Control Manager,7036.0,Information,-0.9970460911070077,1,NORMAL
12/19/2016 3:08:47 PM,unknown,unknown,system,Service Control Manager,7036.0,Information,-0.9904005987657547,1,NORMAL
12/19/2016 3:03:05 PM,unknown,unknown,system,Service Control Manager,7036.0,Information,-1.2143626014012998,-1,HIGH
12/19/2016 2:45:00 PM,unknown,unknown,system,Service Control Manager,7036.0,Information,-1.08062334130577,1,NORMAL
