timestamp,source_ip,dest_ip,log_source,source_name,event_id,anomaly_score,prediction,alert_level
12/19/2016 3:51:15 PM,unknown,unknown,application,Desktop Window Manager,9009,-0.11451784008818011,Anomalie,HIGH
12/19/2016 3:48:39 PM,unknown,unknown,application,RSyslogWindowsAgent,151,-0.1369208927712533,Anomalie,HIGH
12/19/2016 3:48:39 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11544544464706374,Anomalie,HIGH
12/19/2016 3:48:38 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11544544464706374,Anomalie,HIGH
12/19/2016 3:48:25 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11544544464706374,Anomalie,HIGH
12/19/2016 3:48:24 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11544544464706374,Anomalie,HIGH
12/19/2016 3:48:23 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11544544464706374,Anomalie,HIGH
12/19/2016 3:48:22 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11544544464706374,Anomalie,HIGH
12/19/2016 3:48:09 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11544544464706374,Anomalie,HIGH
12/19/2016 3:48:08 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11544544464706374,Anomalie,HIGH
12/19/2016 3:48:07 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11544544464706374,Anomalie,HIGH
12/19/2016 3:48:06 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11544544464706374,Anomalie,HIGH
12/19/2016 3:47:53 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11345994769261492,Anomalie,HIGH
12/19/2016 3:47:52 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11345994769261492,Anomalie,HIGH
12/19/2016 3:47:51 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11345994769261492,Anomalie,HIGH
12/19/2016 3:47:50 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11345994769261492,Anomalie,HIGH
12/19/2016 3:47:35 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11345994769261492,Anomalie,HIGH
12/19/2016 3:47:34 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11345994769261492,Anomalie,HIGH
12/19/2016 3:47:19 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11345994769261492,Anomalie,HIGH
12/19/2016 3:47:18 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11345994769261492,Anomalie,HIGH
12/19/2016 3:47:02 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.11345994769261492,Anomalie,HIGH
12/19/2016 3:46:46 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.10977795518105637,Anomalie,HIGH
12/19/2016 3:46:33 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.10977795518105637,Anomalie,HIGH
12/19/2016 3:46:30 PM,unknown,unknown,application,RSyslogWindowsAgent,114,-0.10977795518105637,Anomalie,HIGH
12/19/2016 3:39:52 PM,unknown,unknown,application,Microsoft-Windows-Security-SPP,903,0.060679221502019376,Normal,NORMAL
12/19/2016 3:39:52 PM,unknown,unknown,application,Microsoft-Windows-Security-SPP,16384,-0.0626508034730926,Anomalie,HIGH
12/19/2016 3:39:22 PM,unknown,unknown,application,Microsoft-Windows-Security-SPP,902,0.0679711672989346,Normal,NORMAL
12/19/2016 3:39:22 PM,unknown,unknown,application,Microsoft-Windows-Security-SPP,1037,0.058113064733167574,Normal,NORMAL
